Site #,Point,Landscape,Combustion date,Sample,"Mwet, g","Mdry, g","Mash, g","Moisture, %","Incombustible residue, %","AC comb, kBq/kg","Un. A comb (2SD), %","A filter, Bq","Un. A filter (2SD), %","A other, Bq","Un. A other (2SD), %","A aerosol, Bq","Un. A aerosols (2SD), %","A comb, kBq","Un. A comb (2SD), %","RF, %","Un. RF (2SD), %"
1,1,Pine forest,2024-11-13,GFF,-,78.1,16.6,<1,21,19,7,39,5,8.2,10,47,4,1.5,8,3.2,9
1,1,Pine forest,2024-11-13,L,-,69.8,9,<1,13,5.5,9,10,7,4.7,12,15,6,0.38,10,3.9,12
1,1,Pine forest,2024-11-13,F,-,191,54.4,<1,29,10,8,18,7,9.3,7,27,5,1.9,9,1.4,10
1,1,Pine forest,2024-11-13,H,-,329,187,<1,57,57,6,16,9,13,5,29,5,19,7,0.15,9
1,2,Pine forest,2024-11-13,GFF,-,60.3,13.1,<1,22,23,8,36,5,5.5,7,42,4,1.4,9,3.1,10
1,2,Pine forest,2024-11-13,L,-,75.4,9.5,<1,13,4.0,9,15,8,3.4,12,18,7,0.30,10,5.8,12
1,2,Pine forest,2024-11-13,F,-,148,45.5,<1,31,16,8,25,9,6.6,6,32,7,2.4,9,1.3,12
1,2,Pine forest,2024-11-13,H,-,152,89.4,<1,59,43,6,13,11,7.9,10,21,8,6.5,7,0.33,10
1,3,Pine forest,2024-11-13,GFF,-,81.3,17.1,<1,21,17,8,41,4,11,8,52,4,1.4,9,3.8,10
1,3,Pine forest,2024-11-13,L,-,44,7.3,<1,17,5.9,8,11,9,2.5,9,14,7,0.26,9,5.3,12
1,3,Pine forest,2024-11-13,F,-,436,138,<1,32,19,9,17,7,6.8,10,24,6,8.3,10,0.29,12
1,3,Pine forest,2024-11-13,H,-,823,497,<1,60,65,10,24,7,18,9,42,6,53,11,0.08,12
2,1,Pine forest,2024-07-23,Little,431,-,145,15-29,34,73,7,45,6,45,12,90,7,32,8,0.28,10
2,2,Pine forest,2024-07-23,Little,676,-,409,15-29,61,130,7,29,10,11,10,40,8,88,8,0.05,11
2,3,Pine forest,2024-07-23,Little,412,-,199,15-29,48,111,7,42,9,31,5,73,6,46,8,0.16,10
3,1,Pine forest,2024-08-21,Little,111,-,35.7,5-13,32,198,7,58,6,14,9,72,5,22,8,0.33,10
3,2,Pine forest,2024-08-21,Little,79.8,-,21.5,5-13,27,124,6,143,6,16,9,159,5,9.9,7,1.6,9
3,3,Pine forest,2024-08-21,Little,80.2,-,12.2,5-13,15,41,10,81,6,34,8,115,5,3.3,11,3.5,12
3,4,Pine forest,2024-08-21,Little,85,-,27,5-13,32,139,5,130,6,40,8,170,5,12,6,1.4,8
3,1,Pine forest,2025-05-03,Litter,188,166,73.9,<1,45,108,4,-,-,-,-,16,14,18,5,0.09,15
3,2,Pine forest,2025-05-03,Litter,195,185,71.6,<1,39,116,4,-,-,-,-,16,15,21,5,0.08,16
3,3,Pine forest,2025-05-03,Litter,212,192,76.7,<1,40,264,4,-,-,-,-,30,15,51,5,0.06,16
4,1,Birch forest,2025-02-05,Litter,145,125,68.2,<1,55,310,4,-,-,-,-,39,12,39,5,0.10,13
4,2,Birch forest,2025-02-05,Litter,155,132,65.3,<1,50,452,4,-,-,-,-,113,9,60,5,0.19,10
4,3,Birch forest,2025-02-05,Litter,145,123,58.9,<1,48,317,4,-,-,-,-,63,7,39,5,0.16,9
5,1,Meadow,2025-02-05,Litter,77,69,7.7,<1,11,195,4,-,-,-,-,79,10,13,5,0.59,11
5,2,Meadow,2025-02-05,Litter,72.7,62.9,12.6,<1,20,272,4,-,-,-,-,83,11,17,5,0.48,12
5,3,Meadow,2025-02-05,Litter,93.1,75.6,9.8,<1,13,242,4,-,-,-,-,39,13,18,5,0.21,14
6,1,Open pine stand,2024-07-22,Live branch,202,-,79.6,131-207,39,76*,6,4700,7,170,10,4900,7,20,7,24,10
6,2,Open pine stand,2025-07-15,Live branch,254,-,79.1,106-161,31,257*,5,12000,4,950,7,13000,4,78,6,17,7
6,3,Open pine stand,2025-07-15,Live branch,463,-,176,111-150,38,230*,5,14200,4,1200,6,15400,4,122,6,13,7
